timestamp,uv,light,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1712473034,3,250,93,3537,7626,11192,9621,9203,18069,3748,4816,,
1712473036,2,257,66,3536,7476,10988,9464,9037,17796,3755,4756,,
1712473038,5,255,-28,3476,7623,11272,9699,9267,18208,3747,4866,,
1712473040,4,245,-35,3540,7435,11094,9563,9128,17991,3759,4811,,
1712473043,4,255,23,3423,7541,10615,9171,8745,17289,3774,4628,,
1712473045,3,200,98,3544,7575,10275,8896,8472,16810,3787,4504,,
1712473047,2,241,64,3603,7523,10035,8698,8276,16475,3795,4413,,
1712473049,3,241,133,3545,7569,10332,8945,8519,16903,3787,4528,,
1712473051,2,218,-91,3401,7458,10151,8801,8376,16652,3795,4465,,
1712473053,3,246,181,3527,7665,9847,8555,8133,16228,3809,4353,,
1712473055,3,243,-371,1709,8091,9508,7951,7719,15008,3659,3813,,
1712473057,4,248,-640,2271,7959,9790,8214,7980,15451,3676,3945,,
1712473059,8,225,-658,2275,8028,9245,7806,7561,14734,3710,3785,,
1712473061,6,254,-625,2278,8017,9641,8115,7869,15275,3689,3919,,
1712473063,2,253,-598,2179,8082,9642,8112,7867,15276,3688,3915,,
1712473065,1,256,-549,2173,8151,9478,7982,7736,15048,3693,3859,,
1712473067,4,222,-577,2243,8044,9154,7724,7480,14593,3708,3744,,
1712473069,4,248,-610,2317,7999,9005,7629,7369,14441,3725,3724,,
1712473071,3,247,-652,2251,7980,9147,7745,7483,14647,3720,3777,,
1712473073,1,244,-521,2272,8099,8809,7485,7221,14187,3741,3669,,
1712473075,3,287,-511,2343,8111,8576,7305,7039,13868,3755,3593,,
1712473077,3,249,-488,2289,8077,8491,7235,6969,13741,3756,3562,,
1712473079,4,250,-520,2180,8074,8578,7301,7036,13854,3749,3589,,
1712473081,1,220,-540,2092,7782,8619,7336,7073,13904,3749,3603,,
1712473083,2,200,-792,2630,7882,8528,7317,7030,13877,3784,3634,,
1712473085,3,253,-784,2736,7898,8335,7170,6880,13614,3797,3575,,
1712473087,3,244,-770,2610,7865,8074,6966,6675,13251,3813,3488,,
1712473089,0,215,-3651,3526,7007,6225,5339,5198,9978,3819,2601,,
